enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
		140	P16859	NPPB
		286	P16967	SSR1
		363	P17129	SFTPB
		363	P17129	SFTP3
ENSCAFT00000047881	ENSCAFP00000039036	89	P17716	IAPP
		329	P19006	HP
ENSCAFT00000014555	ENSCAFP00000013464	129	P19708	SAA1
ENSCAFT00000019746	ENSCAFP00000018316	249	P21842	CMA1
ENSCAFT00000028257	ENSCAFP00000026279	277	P23294	PLP1
ENSCAFT00000028257	ENSCAFP00000026279	277	P23294	PLP
		494	P24460	CYP2B11
		2184	P24658	L
ENSCAFT00000026438	ENSCAFP00000024552	215	P27869	TMED11
		24	P28490	CALR
ENSCAFT00000104931		453	P30552	CCKBR
		352	P30992	C5AR1
		352	P30992	C5R1
ENSCAFT00000010321	ENSCAFP00000009569	290	P33704	ATP4B
ENSCAFT00000064515	ENSCAFP00000063493	239	P33706	CD8A
ENSCAFT00000020118	ENSCAFP00000018659	216	P33711	GH1
ENSCAFT00000020118	ENSCAFP00000018659	216	P33711	GH
		611	P33730	SELE
		175	P35834	CSF3
		1451	P36300	S
		975	P39881	CUX1
		975	P39881	CLOX
		975	P39881	CUTL1
		207	P41323	IL6
		352	P42705	THPO
		352	P42705	TPO
		209	P42929	HSPB1
		209	P42929	HSP27
		359	P43240	AGTR1
		495	P47842	SLC2A3
		495	P47842	GLUT3
		465	P48300	FUCA1
		181	P48411	IL10
ENSCAFT00040004918		1935	P49824	MYH7
ENSCAFT00000081373	ENSCAFP00000053598	244	P49894	DIO1
ENSCAFT00000081373	ENSCAFP00000053598	244	P49894	ITDI1
ENSCAFT00000081373	ENSCAFP00000053598	244	P49894	TXDI1
		319	P50994	ANXA4
		319	P50994	ANX4
		1034	P50996	ATP4A
ENSCAFT00000024768	ENSCAFP00000022977	216	P51147	RAB5C
		208	P51152	RAB12
		101	P52203	CCL2
		101	P52203	MCP1
		101	P52203	SCYA2
ENSCAFT00000002698	ENSCAFP00000002506	346	P52204	PRPH2
ENSCAFT00000002698	ENSCAFP00000002506	346	P52204	RDS
		249	P54714	TPI1
		669	P54804	GALC
ENSCAFT00000009298	ENSCAFP00000008629	87	P54827	PDE6G
ENSCAFT00000009298	ENSCAFP00000008629	87	P54827	PDEG
		354	P54832	PON2
		530	P54834	TYR
ENSCAFT00000100886		223	P55745	RAB21
		442	P56497	EDNRB
		487	P56594	CYP2C21
ENSCAFT00000007431	ENSCAFP00000006887	88	P56595	APOC1
		146	P60524	HBB
		141	P60529	HBA
ENSCAFT00000075701	ENSCAFP00000046223	213	P61017	RAB4B
		154	P63113	MB
ENSCAFT00000016823	ENSCAFP00000015568	173	P68280	CRYAA
		109	P79144	AQP2
		473	P79148	ADRB1
		333	P80009	PLG
ENSCAFT00000021500	ENSCAFP00000019966	358	P81999	DNAJB11
		327	P83286	OPTC
		327	P83286	OPT
ENSCAFT00000014175	ENSCAFP00000013114	102	P83362	SPCS1
ENSCAFT00000014175	ENSCAFP00000013114	102	P83362	SPC12
		649	P99502	HSPA9
ENSCAFT00040002094		622	Q00004	SRP68
ENSCAFT00000049113	ENSCAFP00000041988	54	Q00LT9	PRCD
ENSCAFT00040006532		655	Q01634	IDUA
ENSCAFT00000082516	ENSCAFP00000052565	374	Q01685	TRAM1
ENSCAFT00000082516	ENSCAFP00000052565	374	Q01685	TRAM
		445	Q01988	USP11
		445	Q05052	DDOST
		445	Q05052	OST48
		1940	Q076A3	MYH13
		1939	Q076A4	MYH8
		1939	Q076A5	MYH4
		1939	Q076A6	MYH1
ENSCAFT00000027819	ENSCAFP00000025869	1940	Q076A7	MYH2
ENSCAFT00000048684	ENSCAFP00000038219	442	Q0Q0E4	GATA4
ENSCAFT00030028553		441	Q0ZAQ8	PPARD
ENSCAFT00030028553		441	Q0ZAQ8	NR1C2
ENSCAFT00030028553		441	Q0ZAQ8	PPARB
ENSCAFT00000038122	ENSCAFP00000033796	149	Q0ZFW8	OOEP
ENSCAFT00000038122	ENSCAFP00000033796	149	Q0ZFW8	OEP19
ENSCAFT00000002449	ENSCAFP00000002269	492	Q1HGE8	HSF4
ENSCAFT00000108456		54	Q1PCT2	PMAIP1
ENSCAFT00000108456		54	Q1PCT2	NOXA
ENSCAFT00000014095	ENSCAFP00000013040	270	Q20FD0	FGF5
ENSCAFT00000046052	ENSCAFP00000042144	226	Q28250	SPCS2
ENSCAFT00000046052	ENSCAFP00000042144	226	Q28250	SPC25
ENSCAFT00000107187		677	Q28256	GP1BA
ENSCAFT00000028993	ENSCAFP00000026963	861	Q28263	PDE6A
ENSCAFT00000028993	ENSCAFP00000026963	861	Q28263	PDEA
		405	Q28281	SAG
		405	Q28281	ARR
		405	Q28281	SAG1
ENSCAFT00000049200	ENSCAFP00000043023	343	Q28283	TRIB2
ENSCAFT00000049200	ENSCAFP00000043023	343	Q28283	C5FW
		266	Q28292	IL1B
		1534	Q28298	RRBP1
		1534	Q28298	P180
		149	Q28895	NPC2
ENSCAFT00000009945	ENSCAFP00000009230	360	Q29393	DCN
ENSCAFT00000009945	ENSCAFP00000009230	360	Q29393	DCN1C
ENSCAFT00000006417	ENSCAFP00000005941	155	Q29416	IL2
		412	Q29467	INPP5A
		500	Q29473	CYP2D15
ENSCAFT00000027121	ENSCAFP00000025221	295	Q29476	SULT1A1
ENSCAFT00000026853	ENSCAFP00000024956	574	Q29536	PKLR
		508	Q2KL21	EPOR
		765	Q2THW8	ZDHHC8
		1133	Q2VLG6	CD163
		1133	Q2VLG6	M130
		1545	Q30DN6	KDM5D
		1545	Q30DN6	JARID1D
		1545	Q30DN6	SMCY
ENSCAFT00000012646	ENSCAFP00000011713	535	Q32KH0	ARSK
ENSCAFT00000031604	ENSCAFP00000029422	522	Q32KH5	GALNS
ENSCAFT00000100609		535	Q32KH9	ARSG
ENSCAFT00000043457	ENSCAFP00000035934	179	Q38HS3	KLRD1
ENSCAFT00000043457	ENSCAFP00000035934	179	Q38HS3	CD94
		1556	Q38JA7	KDM5C
		1556	Q38JA7	JARID1C
		1556	Q38JA7	SMCX
		460	Q3BCQ4	RHCG
ENSCAFT00000049913	ENSCAFP00000040637	415	Q3BCQ5	RHAG
ENSCAFT00000019492	ENSCAFP00000018081	330	Q3ZKN1	CTSK
ENSCAFT00000015991	ENSCAFP00000014791	410	Q4LAL9	CTSD
ENSCAFT00000082522	ENSCAFP00000059779	218	Q4PPC4	SCN1B
ENSCAFT00030027701		585	Q4PRC2	GAD2
ENSCAFT00030027701		585	Q4PRC2	GAD65
ENSCAFT00000013605	ENSCAFP00000012587	619	Q4ZHR9	GUCY1B1
ENSCAFT00000013605	ENSCAFP00000012587	619	Q4ZHR9	GUC1B3
ENSCAFT00000013605	ENSCAFP00000012587	619	Q4ZHR9	GUCSB3
ENSCAFT00000013605	ENSCAFP00000012587	619	Q4ZHR9	GUCY1B3
ENSCAFT00000027420	ENSCAFP00000025500	152	Q50KA9	NME1
ENSCAFT00000027420	ENSCAFP00000025500	152	Q50KA9	NM23A
ENSCAFT00000063225	ENSCAFP00000056904	329	Q5CAZ6	B3GAT2
		335	Q5CB03	B3GAT1
ENSCAFT00030032971		407	Q5DUB3	TACR1
ENSCAFT00000032093	ENSCAFP00000029887	422	Q5DWN0	GFI1
ENSCAFT00000015969	ENSCAFP00000014770	373	Q5IFP1	HSD3B
ENSCAFT00000027690	ENSCAFP00000025751	312	Q5JZQ8	CLN6
ENSCAFT00000095069		580	Q5NDE9	POMGNT2
ENSCAFT00000095069		580	Q5NDE9	AGO61
ENSCAFT00000095069		580	Q5NDE9	GTDC2
ENSCAFT00000026966	ENSCAFP00000025069	865	Q5QQ50	XYLT2
ENSCAFT00845036965		383	Q5TJE8	B3GALT4
		469	Q5TJF6	SLC39A7
		533	Q5TJF7	RXRB
		533	Q5TJF7	NR2B2
ENSCAFT00000001379	ENSCAFP00000001265	803	Q5TJG6	BRD2
		698	Q5VK71	AKAP8
		698	Q5VK71	AKAP95
ENSCAFT00030027519		276	Q5W416	PSMB8
		578	Q5W7P8	THBD
ENSCAFT00000000802	ENSCAFP00000000737	204	Q5WR07	LTA
ENSCAFT00000000802	ENSCAFP00000000737	204	Q5WR07	TNFB
ENSCAFT00000000802	ENSCAFP00000000737	204	Q5WR07	TNFSF1
ENSCAFT00000029624	ENSCAFP00000027533	1097	Q5XNR9	LIFR
ENSCAFT00000043418	ENSCAFP00000040578	94	Q64H35	CCL26
		295	Q64HP0	CCND1
		238	Q65954	L3
		1453	Q65984	S
		575	Q659X0	FUT8
ENSCAFT00000029147	ENSCAFP00000027105	99	Q68AY9	CCL8
ENSCAFT00000029147	ENSCAFP00000027105	99	Q68AY9	MCP2
		619	Q6EIY9	KRT1
		619	Q6EIY9	KER1
ENSCAFT00000025391	ENSCAFP00000023577	568	Q6EIZ0	KRT10
ENSCAFT00000025391	ENSCAFP00000023577	568	Q6EIZ0	KER10
		810	Q6Q7P4	EPB41
		422	Q6QMY5	ESRRA
		422	Q6QMY5	NR3B1
		654	Q6QNF4	HGFAC
		236	Q6R755	BCL2
		198	Q6SLL5	CDKN1B
		198	Q6SLL5	KIP1
		216	Q6TDU1	MGMT
ENSCAFT00030017582		339	Q6TEQ7	ANXA2
ENSCAFT00030017582		339	Q6TEQ7	ANX2
ENSCAFT00000027186	ENSCAFP00000025285	151	Q6WZ18	NGB
ENSCAFT00000021046	ENSCAFP00000019544	119	Q712G9	ID3
ENSCAFT00040016416		372	Q71DR4	CNTFR
		198	Q765Z4	EDN3
ENSCAFT00000093753	ENSCAFP00000054576	284	Q767J3	DNASE1
ENSCAFT00845023040		641	Q7YQC6	HSPA1
ENSCAFT00845023040		641	Q7YQC6	Hsp70
		247	Q7YRB4	BDNF
		1091	Q7YRF1	AP3B1
		1091	Q7YRF1	ADTB3A
		215	Q864L3	SCN2B
		409	Q866Y9	ZACN
		409	Q866Y9	LGICZ
		597	Q89536	E1
		350	Q8HYS5	MCL1
ENSCAFT00030001999		202	Q8MIH6	RCVRN
ENSCAFT00030001999		202	Q8MIH6	RCV1
ENSCAFT00000007493	ENSCAFP00000006935	360	Q8MJW8	CCR4
		188	Q8WMD0	COMMD1
		188	Q8WMD0	MURR1
		397	Q8WMS0	SLC35A2
		397	Q8WMS0	UGT
		712	Q8WMU5	FZD6
		153	Q8WNN6	SOD1
		492	Q8WNW0	CYP21
ENSCAFT00000023776	ENSCAFP00000022069	532	Q95LA1	FMO3
ENSCAFT00030008420		183	Q95MP7	FTH1
ENSCAFT00030008420		183	Q95MP7	FTH
		238	Q96686	L3
		1216	Q9BEA0	EGF
ENSCAFT00000104578		176	Q9BEH0	IL1RN
		451	Q9GKK5	TUBG1
		451	Q9GKK5	TUBG
		1054	Q9GKQ8	DSG1
ENSCAFT00000027926	ENSCAFP00000025969	1415	Q9GL21	UACA
ENSCAFT00000027926	ENSCAFP00000025969	1415	Q9GL21	C3VS
		435	Q9GL27	TBXT
		435	Q9GL27	T
		770	Q9GLD3	TFRC
		815	Q9GLK0	TGM1
ENSCAFT00030019710		341	Q9GMY1	QKI
ENSCAFT00000013581	ENSCAFP00000012566	128	Q9MYV1	CALCA
ENSCAFT00000013581	ENSCAFP00000012566	128	Q9MYV1	CALC
ENSCAFT00000013581	ENSCAFP00000012566	128	Q9MYV1	CCALCI
ENSCAFT00000001364	ENSCAFP00000001250	131	Q9N0W9	IL13
ENSCAFT00000016149	ENSCAFP00000014935	711	Q9N0Y2	MX2
ENSCAFT00000016155	ENSCAFP00000014941	657	Q9N0Y3	MX1
		564	Q9N1R2	SLC1A6
		564	Q9N1R2	EAAT4
		142	Q9N2G9	LALBA
		177	Q9TRM8	RLN
ENSCAFT00000007487	ENSCAFP00000006929	668	Q9TRY9	GLB1
ENSCAFT00000013332	ENSCAFP00000012336	304	Q9TSZ2	HEY1
ENSCAFT00000013332	ENSCAFP00000012336	304	Q9TSZ2	HESR1
ENSCAFT00000013332	ENSCAFP00000012336	304	Q9TSZ2	BC8
		565	Q9TU19	NPHP1
		565	Q9TU19	NPH1
		223	Q9XSI1	CTLA4
		193	Q9XSR0	IL18
		193	Q9XSR0	IGIF
		162	Q9XST2	SLC2A4
		162	Q9XST2	GLUT4
		162	Q9XST2	B146
ENSCAFT00000014487	ENSCAFP00000013399	61	Q9XST5	MT2A
ENSCAFT00000014487	ENSCAFP00000013399	61	Q9XST5	MT2
ENSCAFT00000014487	ENSCAFP00000013399	61	Q9XST5	B28
ENSCAFT00000021914	ENSCAFP00000020352	181	Q9XSV3	TMEM47
ENSCAFT00000021914	ENSCAFP00000020352	181	Q9XSV3	BCMP1
ENSCAFT00000021914	ENSCAFP00000020352	181	Q9XSV3	TM4SF10
ENSCAFT00000023338	ENSCAFP00000021671	361	Q9XT82	PTGER2
		514	Q9ZZ64	MT-CO1
		514	Q9ZZ64	COI
		514	Q9ZZ64	COXI
		514	Q9ZZ64	MTCO1
ENSCAFT00000082784	ENSCAFP00000044539	123	A0A5F4BST2	CRB3
ENSCAFT00000018663	ENSCAFP00000017288	837	A1XD97	TFIP11
ENSCAFT00000018663	ENSCAFP00000017288	837	A1XD97	STIP
ENSCAFT00000045202	ENSCAFP00000041418	178	A2IBY7	CRYGS
ENSCAFT00000018755	ENSCAFP00000017377	196	A2ICR5	CRYBA4
ENSCAFT00030010270		610	A2SXS5	MEN1
ENSCAFT00000028823	ENSCAFP00000026805	453	A3RF36	ALDH3A1
ENSCAFT00000028823	ENSCAFP00000026805	453	A3RF36	ALDH3
ENSCAFT00000020176	ENSCAFP00000018714	1196	A7YH32	CGN
ENSCAFT00000029165	ENSCAFP00000027123	163	B6VH75	SPACA3
ENSCAFT00000029165	ENSCAFP00000027123	163	B6VH75	SPRASA
ENSCAFT00000006369	ENSCAFP00000005899	188	D0VWQ3	RPL18
ENSCAFT00000026132	ENSCAFP00000024264	196	D0VWQ5	RPL19
		209	E2QSX5	IFT43
		985	E2QTD3	TDRD5
		526	E2QUD0	QRSL1
		347	E2QUI9	NAXD
		347	E2QUI9	CARKD
ENSCAFT00000009299	ENSCAFP00000008630	204	E2QXF3	RPL15
		939	E2R1I5	CCDC39
		803	E2R766	EXOC6
		803	E2R766	SEC15A
		803	E2R766	SEC15L
		803	E2R766	SEC15L1
		1187	E2R9X2	ARID5B
		1125	E2RDV1	TDRD7
ENSCAFT00000101099		159	E2RGI3	SNRPC
		155	E2RK33	GATC
ENSCAFT00000016159	ENSCAFP00000014945	300	E2RKN7	FBXL15
ENSCAFT00000032391	ENSCAFP00000030163	79	E2RKN8	TMEM258
ENSCAFT00000020665	ENSCAFP00000019180	249	E2RP87	FCGR3A
ENSCAFT00000020665	ENSCAFP00000019180	249	E2RP87	LOC478984
ENSCAFT00000026699	ENSCAFP00000024805	213	E2RQ15	RAB25
		395	E2RSQ2	HORMAD1
ENSCAFT00000094065		144	J9PAS6	SRP19
		369	O02678	BGN
		786	O18740	KRT9
		35	O18921	RENBP
ENSCAFT00000014488	ENSCAFP00000013400	61	O19000	MT1
		905	O39619	L3
		221	O46607	GPX5
		82	O62682	FGF8
		415	O62732	SYN1
		268	O62802	IL2RA
		349	O71027	Segment-7
		691	O72120	ORF2
		188	O77559	ADM
ENSCAFT00030030636		326	O77592	SLC35A3
		317	O77616	MC1R
		129	O77645	TNP2
		370	O77808	AVPR2
		370	O77808	V2R
		447	O97555	GDI1
		445	O97556	GDI2
ENSCAFT00030002649		69	O97564	GNGT2
		93	P01299	PPY
		31	P02677	FGB
		235	P03513	N
		57	P04542	SPINK1
		57	P04542	PSTI
ENSCAFT00000036999	ENSCAFP00000032437	263	P04813	CTRB1
ENSCAFT00000036999	ENSCAFP00000032437	263	P04813	CTRB
		638	P06625	SRPRA
		638	P06625	SRPR
		507	P06940	P/V
		27	P09910	SCT
		450	P0C570	N
		202	P0C571	M
		522	P0C572	G
		37	P0CU66	OST4
ENSCAFT00000029761	ENSCAFP00000027658	189	P10463	CAPS
		285	P18174	IVL
		138	P18842	LHB
		112	P19090	CLPS
		86	P21262	SRP9
		34	P22397	SFTPC
		34	P22397	SFTP2
ENSCAFT00000026734	ENSCAFP00000024839	183	P23438	SSR2
ENSCAFT00000020302	ENSCAFP00000018835	202	P27597	CD3E
		396	P28228	GJC1
		396	P28228	GJA7
		565	P28883	HN
		565	P28884	HN
		565	P28885	HN
		56	P31236	CASQ1
		141	P32750	BCHE
		161	P33685	LGB1
		161	P33686	LGB2
		206	P33707	EPO
		54	P33710	GAL
		54	P33710	GALN
		528	P33729	ICAM1
		187	P34819	BMP7
		25	P34962	NMU
		381	P36298	N
		262	P36299	M
		35	P40765	COPA
ENSCAFT00040014293		101	P41324	CXCL8
ENSCAFT00040014293		101	P41324	IL8
ENSCAFT00000013582	ENSCAFP00000012567	130	P41547	CALCA
ENSCAFT00000013582	ENSCAFP00000012567	130	P41547	CALC
ENSCAFT00000013582	ENSCAFP00000012567	130	P41547	CCALCI
ENSCAFT00030005352		371	P43698	TITF1
ENSCAFT00030005352		371	P43698	TTF1
ENSCAFT00000036668	ENSCAFP00000032076	144	P48749	CSF2
ENSCAFT00000022039	ENSCAFP00000020465	116	P49670	SST
		13	P49818	HSPD1
		13	P49818	HSP60
		13	P49823	PDHA1
		196	P49926	CRH
		198	P52206	GNA11
ENSCAFT00000039639	ENSCAFP00000035520	177	P52211	PTHLH
ENSCAFT00000012999	ENSCAFP00000012029	115	P52212	PTH
		138	P54828	TSHB
		13	P54836	IDH3A
		416	P55261	CPB1
		416	P55261	CPB
ENSCAFT00000016205	ENSCAFP00000014989	376	P61162	ACTR1A
ENSCAFT00000016205	ENSCAFP00000014989	376	P61162	CTRN1
ENSCAFT00030002209		340	P62872	GNB1
ENSCAFT00000003233	ENSCAFP00000003005	74	P63210	GNGT1
ENSCAFT00000036542	ENSCAFP00000031934	135	P63273	RPS17
ENSCAFT00000036542	ENSCAFP00000031934	135	P63273	B179
		28	P63289	VIP
		227	P67780	MT-CO2
		227	P67780	COII
		227	P67780	COX2
		227	P67780	COXII
		227	P67780	MTCO2
		28	P68213	FGA
		224	P68948	L4
		224	P68949	L4
		224	P68962	L4
		224	P68963	L4
		132	P68964	L2
		132	P68965	L2
		689	P68966	L4
		689	P68967	L4
		389	P68973	L1
		206	P68984	L3
		206	P68985	L3
		206	P68986	L3
ENSCAFT00000005931	ENSCAFP00000005495	360	P79145	CREM
ENSCAFT00030040673		340	P79147	GNB3
		773	P79149	PNN
ENSCAFT00000023682	ENSCAFP00000021986	194	P79150	FGF7
ENSCAFT00000023682	ENSCAFP00000021986	194	P79150	KGF
		20	P82539	DNAJC1
ENSCAFT00000024990	ENSCAFP00000057924	149	P86218	OSTC
ENSCAFT00000027005	ENSCAFP00000025106	136	P86229	KRTCAP2
ENSCAFT00000027005	ENSCAFP00000025106	136	P86229	KCP2
		446	P87552	IVa2
		1150	P87553	POL
		134	P87558	L2
		206	P87563	L3
		318	P92604	MT-ND1
		318	P92604	MTND1
		318	P92604	NADH1
		318	P92604	ND1
		19	P99504	ATP5F1B
		19	P99504	ATP5B
		21	P99505	TXN
		20	P99507	SUCLA2
ENSCAFT00030002732		827	Q00M95	RHBDF2
ENSCAFT00030002732		827	Q00M95	RHBDL6
		382	Q04700	N
		1305	Q0V8T0	CNTNAP5
		1305	Q0V8T0	CASPR5
		739	Q28260	VCAM1
		191	Q28266	KCNMB1
		222	Q28267	IL12A
		329	Q28268	IL12B
		593	Q28288	STXBP2
		153	Q28296	MAL
ENSCAFT00000036183	ENSCAFP00000031533	314	Q28309	ADORA3
		421	Q28346	RPL4
		421	Q28346	RPL1
		124	Q28894	WFDC2
ENSCAFT00000019877	ENSCAFP00000018435	67	Q28896	CD52
ENSCAFT00000019877	ENSCAFP00000018435	67	Q28896	CDW52
ENSCAFT00000019877	ENSCAFP00000018435	67	Q28896	CE5
ENSCAFT00000044866	ENSCAFP00000042779	1117	Q2KNA0	SPECC1L
ENSCAFT00000044866	ENSCAFP00000042779	1117	Q2KNA0	CYTSA
ENSCAFT00000018382	ENSCAFP00000017026	205	Q2LEC2	CRYBB2
		1533	Q2PQH8	AGL
		840	Q2TFN9	HSPA4
		840	Q2TFN9	APG2
		840	Q2TFN9	HSPH2
ENSCAFT00000020320	ENSCAFP00000018853	664	Q2TLZ1	MACO1
ENSCAFT00000020320	ENSCAFP00000018853	664	Q2TLZ1	TMEM57
		573	Q32KH7	ARSI
		379	Q34101	MT-CYB
		379	Q34101	COB
		379	Q34101	CYTB
		379	Q34101	MTCYB
		297	Q3C2E2	MS4A1
		297	Q3C2E2	CD20
ENSCAFT00000015761	ENSCAFP00000014590	187	Q3YIX4	PEBP1
ENSCAFT00000015761	ENSCAFP00000014590	187	Q3YIX4	PBP
ENSCAFT00000018210	ENSCAFP00000016862	193	Q45T69	BCL2L2
		845	Q49HH9	TAS1R3
		845	Q49HH9	T1R3
		836	Q49HI0	TAS1R2
		836	Q49HI0	T1R2
ENSCAFT00000021824	ENSCAFP00000020273	391	Q49LX5	SSTR1
		369	Q49LX6	SSTR2
		690	Q4ZHS0	GUCY1A1
		690	Q4ZHS0	GUCY1A3
ENSCAFT00000006220	ENSCAFP00000005761	175	Q53VB8	FTL
		428	Q5D0K2	CCKAR
ENSCAFT00030029652		384	Q5DUB2	TACR2
		478	Q5F2N4	FUT10
		304	Q5FZI9	UOX
ENSCAFT00000025898	ENSCAFP00000024048	288	Q5JZQ7	CLN8
		426	Q5KSU9	EDNRA
ENSCAFT00000100768		527	Q5NDL9	EOGT
ENSCAFT00000100768		527	Q5NDL9	AER61
		219	Q5Q9Z2	VHL
ENSCAFT00000001511	ENSCAFP00000001388	640	Q5TJE2	ZBTB22
ENSCAFT00000001511	ENSCAFP00000001388	640	Q5TJE2	ZNF297
ENSCAFT00000001502	ENSCAFP00000001381	449	Q5TJE4	TAPBP
ENSCAFT00000001479	ENSCAFP00000001363	129	Q5TJE6	PFDN6
ENSCAFT00000001479	ENSCAFP00000001363	129	Q5TJE6	KE2
ENSCAFT00000001473	ENSCAFP00000001357	152	Q5TJE9	RPS18
ENSCAFT00000001471	ENSCAFP00000001355	723	Q5TJF0	VPS52
		85	Q5U9D2	HAMP
		131	Q5UK76	ASIP
ENSCAFT00000000798	ENSCAFP00000000733	118	Q5WR09	ATP6V1G1
ENSCAFT00000000798	ENSCAFP00000000733	118	Q5WR09	ATP6G
ENSCAFT00000010501	ENSCAFP00000009735	737	Q5XM32	RXFP2
ENSCAFT00000010501	ENSCAFP00000009735	737	Q5XM32	LGR8
ENSCAFT00845034354		417	Q5XWD5	CBLIF
ENSCAFT00845034354		417	Q5XWD5	GIF
ENSCAFT00000011681	ENSCAFP00000010824	165	Q5XXR2	PMCH
ENSCAFT00000011681	ENSCAFP00000010824	165	Q5XXR2	MCH
		497	Q60FC1	ANGPT1
		359	Q64H34	CCR3
		359	Q64H34	CMKBR3
		446	Q65945	IVa2
		1149	Q65946	POL
		608	Q65947	PTP
		563	Q65949	L1
		132	Q65951	L2
		905	Q65955	L3
		454	Q65956	DBP
		607	Q65999	H
		1330	Q659K0	CCNB3
		607	Q66000	H
		607	Q66001	H
		128	Q68A91	CCL28
		128	Q68A91	SCYA28
ENSCAFT00030026204		151	Q68A93	CCL25
		225	Q68AM8	SOCS3
ENSCAFT00000028847	ENSCAFP00000026825	92	Q68AZ0	CCL4
ENSCAFT00000028847	ENSCAFP00000026825	92	Q68AZ0	SCYA4
ENSCAFT00030018138		119	Q68Y86	CCL24
ENSCAFT00000037424	ENSCAFP00000032928	98	Q68Y88	CCL13
		575	Q6AW47	CES5A
		575	Q6AW47	CES7
ENSCAFT00000015286	ENSCAFP00000014146	403	Q6DYE7	REN
		810	Q6EE22	UNK
		810	Q6EE22	KIAA1753
		810	Q6EE22	ZC3H5
		633	Q6EIZ1	KRT2
		633	Q6EIZ1	K2E
		633	Q6EIZ1	KRT2A
ENSCAFT00000017547	ENSCAFP00000016247	63	Q6J3Q7	COX17
		530	Q6K1J1	UGT2B31
ENSCAFT00000006415	ENSCAFP00000005939	146	Q6L7I9	IL21
		332	Q6W3F4	ADORA2B
ENSCAFT00030034066		132	Q6X7V3	INSL3
ENSCAFT00030034066		132	Q6X7V3	RLF
ENSCAFT00030026301		90	Q711A6	HMGN2
ENSCAFT00030026301		90	Q711A6	HMG17
ENSCAFT00030026301		90	Q711A6	V2.22
		127	Q75V94	CRSP1
		382	Q7T6S8	N
		262	Q7T6S9	M
		1453	Q7T6T3	S
ENSCAFT00000023220	ENSCAFP00000021562	435	Q7YR70	AAMP
ENSCAFT00000105814		208	Q7YR73	ICOS
ENSCAFT00000105814		208	Q7YR73	AILIM
		274	Q7YRL5	CD40
		274	Q7YRL5	TNFRSF5
		554	Q861Q9	TBX4
ENSCAFT00000109373		80	Q863B4	TFF3
ENSCAFT00000109373		80	Q863B4	ITF
ENSCAFT00030018938		118	Q863Z4	MTPN
		320	Q865C0	CA6
		213	Q865S0	EBAG9
		213	Q865S0	RCAS1
		349	Q86729	Segment-7
		258	Q867B0	CELA1
		258	Q867B0	ELA1
		258	Q867B0	ELS1
		509	Q88435	NP
		509	Q88435	N
		385	Q89420	E2
		97	Q89759	E7
		144	Q89808	E6
		513	Q89892	L2
ENSCAFT00000016138	ENSCAFP00000014924	245	Q8HX86	TPMT
		686	Q8HXG3	RHPN2
		185	Q8HY39	RABAC1
		185	Q8HY39	PRA1
		185	Q8HY39	PRAF1
		249	Q8HY67	ANP32A
		331	Q8HY81	CTSS
		91	Q8HYS0	CCL5
		91	Q8HYS0	SCYA5
ENSCAFT00000028018	ENSCAFP00000026060	453	Q8HZV4	TUBD1
ENSCAFT00000028018	ENSCAFP00000026060	453	Q8HZV4	TUBD
		2141	Q8MJ04	RP1
		196	Q8MJ36	HSPB8
		609	Q8MJU5	AFP
ENSCAFT00030000840		211	Q8MKD5	TNNI3
		116	Q8SPS9	DYNLT3
		116	Q8SPS9	TCTE1L
		299	Q8SQ03	CRX
		390	Q8SQ41	PGB
		390	Q8SQ41	PGNB
ENSCAFT00030019974		291	Q8SQ72	SGCG
		171	Q8WMS3	PPP1R1A
ENSCAFT00000001335	ENSCAFP00000001224	134	Q95J76	IL5
		465	Q95KN1	CLUL1
ENSCAFT00030029038		386	Q95LF0	IL13RA2
ENSCAFT00000013912	ENSCAFP00000012872	99	Q95N01	CCL17
ENSCAFT00000013912	ENSCAFP00000012872	99	Q95N01	TARC
		502	Q96680	IVa2
		723	Q96682	PTP
		563	Q96684	L1
		454	Q96687	DBP
		81	Q9BDP4	ATP6V0E1
		81	Q9BDP4	ATP6H
		81	Q9BDP4	ATP6V0E
ENSCAFT00030016449		350	Q9BDQ5	BDKRB1
ENSCAFT00000001280	ENSCAFP00000001172	143	Q9BDX4	IL3
ENSCAFT00030013172		403	Q9BGL8	PTGER1
ENSCAFT00000046226	ENSCAFP00000041488	267	Q9GK08	MSX2
ENSCAFT00030008166		392	Q9GKK4	GALK1
		245	Q9GL25	ELSPBP1
		245	Q9GL25	E12
ENSCAFT00000031252	ENSCAFP00000043148	110	Q9GLJ9	SCAMPER
ENSCAFT00845023744		386	Q9GMY6	PGA
ENSCAFT00845023744		386	Q9GMY6	PGNA
ENSCAFT00040013060		505	Q9MYU8	EPB41L5
ENSCAFT00040013060		505	Q9MYU8	BE37
		327	Q9MZI6	GNRHR
		311	Q9N2I9	UCP3
		311	Q9N2I9	SLC25A9
ENSCAFT00030037948		87	Q9TQX6	DBI
ENSCAFT00845008456		514	Q9TSX8	VNN1
ENSCAFT00000035669	ENSCAFP00000030953	403	Q9TSZ7	AMT
ENSCAFT00000000419	ENSCAFP00000000382	226	Q9TTD8	PROP1
ENSCAFT00000012423	ENSCAFP00000011512	291	Q9TTI7	POU1F1
ENSCAFT00000012423	ENSCAFP00000011512	291	Q9TTI7	GHF1
